Date,Open,High,Low,Close,Adj Close,Volume
2022-03-03,226.1999969482422,229.0,222.9499969482422,225.1999969482422,225.1999969482422,88198
2022-03-04,223.89999389648438,231.5500030517578,222.64999389648438,227.60000610351562,227.60000610351562,139222
2022-03-07,220.0,227.14999389648438,218.5500030517578,223.6999969482422,223.6999969482422,212797
2022-03-08,224.8000030517578,233.9499969482422,223.35000610351562,230.0,230.0,154863
2022-03-09,235.3000030517578,235.3000030517578,226.35000610351562,228.10000610351562,228.10000610351562,66577
2022-03-10,232.10000610351562,233.0500030517578,226.0,227.64999389648438,227.64999389648438,88178
2022-03-11,227.3000030517578,233.5,225.10000610351562,230.75,230.75,49688
2022-03-14,231.39999389648438,233.0,225.5,226.64999389648438,226.64999389648438,64198
2022-03-15,227.8000030517578,228.10000610351562,215.10000610351562,216.85000610351562,216.85000610351562,159055
2022-03-16,219.0,232.89999389648438,218.9499969482422,230.64999389648438,230.64999389648438,352744
2022-03-17,231.5,244.0,228.75,236.60000610351562,236.60000610351562,479857
2022-03-21,241.89999389648438,241.89999389648438,230.3000030517578,232.75,232.75,117890
2022-03-22,232.0,238.6999969482422,230.35000610351562,234.64999389648438,234.64999389648438,131121
2022-03-23,234.64999389648438,238.5,232.0,233.0500030517578,233.0500030517578,91131
2022-03-24,231.6999969482422,243.75,229.1999969482422,231.10000610351562,231.10000610351562,398792
2022-03-25,231.10000610351562,234.60000610351562,226.35000610351562,227.6999969482422,227.6999969482422,184843
2022-03-28,226.0500030517578,227.64999389648438,221.0,223.64999389648438,223.64999389648438,146915
2022-03-29,223.75,229.60000610351562,222.1999969482422,225.64999389648438,225.64999389648438,164951
2022-03-30,226.8000030517578,231.0,225.0,225.75,225.75,91011
2022-03-31,224.5,232.0500030517578,224.5,226.6999969482422,226.6999969482422,152587
2022-04-01,226.0,234.60000610351562,225.89999389648438,230.8000030517578,230.8000030517578,114227
2022-04-04,239.39999389648438,254.25,237.0,245.25,245.25,1327772
2022-04-05,246.6999969482422,257.20001220703125,244.1999969482422,250.3000030517578,250.3000030517578,747955
2022-04-06,245.89999389648438,253.9499969482422,244.89999389648438,246.85000610351562,246.85000610351562,310528
2022-04-07,249.25,262.5,242.0,243.75,243.75,912896
2022-04-08,245.64999389648438,256.75,243.0,251.89999389648438,251.89999389648438,624570
2022-04-11,253.8000030517578,275.95001220703125,253.5,270.70001220703125,270.70001220703125,1931417
2022-04-12,272.0,319.3500061035156,263.0,312.75,312.75,12462892
2022-04-13,308.0,312.79998779296875,293.6000061035156,297.04998779296875,297.04998779296875,2858143
2022-04-18,297.5,316.6499938964844,288.75,304.6499938964844,304.6499938964844,3142567
2022-04-19,306.79998779296875,313.75,276.75,287.0,287.0,1349664
2022-04-20,284.1499938964844,297.0,276.70001220703125,290.1499938964844,290.1499938964844,1019484
2022-04-21,293.6000061035156,319.3999938964844,293.0,310.45001220703125,310.45001220703125,3215330
2022-04-22,308.79998779296875,333.0,306.04998779296875,317.8500061035156,317.8500061035156,3562394
2022-04-25,317.0,321.70001220703125,298.1000061035156,299.70001220703125,299.70001220703125,876123
2022-04-26,305.0,312.70001220703125,301.5,304.5,304.5,559584
2022-04-27,300.1000061035156,309.0,292.20001220703125,298.1000061035156,298.1000061035156,494669
2022-04-28,300.20001220703125,304.8500061035156,290.1000061035156,291.3999938964844,291.3999938964844,322695
2022-04-29,294.3500061035156,298.0,282.5,283.70001220703125,283.70001220703125,412767
2022-05-02,284.0,297.29998779296875,284.0,290.04998779296875,290.04998779296875,519248
2022-05-04,290.25,294.79998779296875,273.1499938964844,278.95001220703125,278.95001220703125,569786
2022-05-05,283.8500061035156,291.75,278.0,282.1000061035156,282.1000061035156,430692
2022-05-06,278.79998779296875,286.45001220703125,272.5,276.45001220703125,276.45001220703125,487907
